log level: INFO
Bytes to send: 5378
CRC16 of data: d1c8
connecting...
will reset reader state on connect
will start inventory on connect
using antennas: (1,)
connected to ('192.168.10.102', 5084)
requested modulation: WISP5
using reader mode: {'C': 0, 'MaxTari': 6250, 'M': 2, 'PIE': 1500, 'StepTari': 0, 'R': 1, 'FLM': 2, 'MinTari': 6250, 'ModeIdentifier': 0, 'BDR': 640000, 'Mod': 0}
stopping politely
reader finished inventory
starting inventory
Read EPC: deaddeaddeadde, 1 , Result=0
Next block: 0404641a3f(13/2689) --- Time elapsed: 3.094 secs
Read EPC: 13370404641677, 5 , Result=0
Read EPC: 13370404641677, 3 , Result=5
Read EPC: 13370404641677, 5 , Result=0
Read EPC: 13370404641677, 2 , Result=5
Read EPC: 13370404641677, 5 , Result=0
Read EPC: 13370404641677, 5 , Result=0
Read EPC: 13370404641677, 5 , Result=0
Read EPC: 13370404641677, 0 , Result=5
Read EPC: 13370404641677, 5 , Result=0
Read EPC: 13370404641a3f, 5 , Result=0
Next block: 0404641e07(15/2689) --- Time elapsed: 3.382 secs
Read EPC: 13370404641a3f, 5 , Result=0
Read EPC: 13370404641a3f, 5 , Result=0
Read EPC: 13370404641a3f, 5 , Result=0
Read EPC: 13370404641a3f, 5 , Result=0
Read EPC: 13370404641a3f, 1 , Result=5
Read EPC: 13370404641a3f, 5 , Result=0
Read EPC: 13370404641a3f, 5 , Result=0
Read EPC: 13370404641a3f, 5 , Result=0
Read EPC: 13370404641a3f, 5 , Result=0
Read EPC: 13370404641a3f, 5 , Result=0
Read EPC: 13370404641a3f, 5 , Result=0
Read EPC: 13370404641a3f, 5 , Result=0
Read EPC: 13370404641a3f, 5 , Result=0
Read EPC: 13370404641e07, 2 , Result=5
Next block: 04046422d1(17/2689) --- Time elapsed: 3.613 secs
Read EPC: 13370404641e07, 5 , Result=0
Read EPC: 13370404641e07, 5 , Result=0
Read EPC: 13370404641e07, 4 , Result=5
Read EPC: 13370404641e07, 5 , Result=0
Read EPC: 13370404641e07, 5 , Result=0
Read EPC: 13370404641e07, 5 , Result=0
Read EPC: 13370404641e07, 5 , Result=0
Read EPC: 13370404641e07, 5 , Result=0
Read EPC: 133704046422d1, 5 , Result=0
Next block: 0404642699(19/2689) --- Time elapsed: 3.893 secs
Read EPC: 133704046422d1, 5 , Result=0
Read EPC: 133704046422d1, 5 , Result=0
Read EPC: 133704046422d1, 5 , Result=0
Read EPC: 133704046422d1, 5 , Result=0
Read EPC: 133704046422d1, 5 , Result=0
Read EPC: 133704046422d1, 5 , Result=0
Read EPC: 133704046422d1, 5 , Result=0
Read EPC: 133704046422d1, 5 , Result=0
Read EPC: 133704046422d1, 5 , Result=0
Read EPC: 133704046422d1, 5 , Result=0
Read EPC: 133704046422d1, 5 , Result=0
Read EPC: 133704046422d1, 5 , Result=0
Read EPC: 133704046422d1, 5 , Result=0
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 13370404642699, 5 , Result=0
Next block: 0404642a61(21/2689) --- Time elapsed: 4.133 secs
Read EPC: 13370404642699, 0 , Result=5
Read EPC: 13370404642699, 5 , Result=0
Read EPC: 13370404642699, 5 , Result=0
Read EPC: 13370404642699, 5 , Result=0
Read EPC: 13370404642699, 5 , Result=0
Read EPC: 13370404642699, 5 , Result=0
Read EPC: 13370404642699, 5 , Result=0
Read EPC: 13370404642699, 5 , Result=0
Read EPC: 13370404642699, 5 , Result=0
Read EPC: 13370404642699, 5 , Result=0
Read EPC: 13370404642699, 5 , Result=0
Read EPC: 13370404642699, 5 , Result=0
Read EPC: 13370404642699, 5 , Result=0
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 13370404642a61, 5 , Result=0
Next block: 0404642e29(23/2689) --- Time elapsed: 4.432 secs
Read EPC: 13370404642a61, 5 , Result=0
Read EPC: 13370404642a61, 5 , Result=0
Read EPC: 13370404642a61, 5 , Result=0
Read EPC: 13370404642a61, 5 , Result=0
Read EPC: 13370404642a61, 5 , Result=0
Read EPC: 13370404642a61, 5 , Result=0
Read EPC: 13370404642a61, 5 , Result=0
Read EPC: 13370404642a61, 5 , Result=0
Read EPC: 13370404642a61, 5 , Result=0
Read EPC: 13370404642a61, 5 , Result=0
Read EPC: 13370404642a61, 5 , Result=0
Read EPC: 13370404642a61, 5 , Result=0
Read EPC: 13370404642a61, 5 , Result=0
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 13370404642e29, 5 , Result=0
Next block: 04046432f3(25/2689) --- Time elapsed: 4.670 secs
Read EPC: 13370404642e29, 5 , Result=0
Read EPC: 13370404642e29, 5 , Result=0
Read EPC: 13370404642e29, 0 , Result=5
Read EPC: 13370404642e29, 5 , Result=0
Read EPC: 13370404642e29, 5 , Result=0
Read EPC: 13370404642e29, 4 , Result=5
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 13370404642e29, 1 , Result=5
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 133704046432f3, 5 , Result=0
Next block: 04046436bb(27/2689) --- Time elapsed: 4.959 secs
Read EPC: 133704046432f3, 5 , Result=0
Read EPC: 133704046432f3, 0 , Result=5
Read EPC: 133704046432f3, 5 , Result=0
Read EPC: 133704046432f3, 0 , Result=5
Read EPC: 133704046432f3, 5 , Result=0
Read EPC: 133704046432f3, 5 , Result=0
Read EPC: 133704046432f3, 5 , Result=0
Read EPC: 133704046432f3, 2 , Result=5
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 133704046432f3, 5 , Result=0
Read EPC: 133704046432f3, 3 , Result=5
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 133704046432f3, 5 , Result=0
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 133704046436bb, 0 , Result=5
Next block: 0506643aef(29/2689) --- Time elapsed: 5.206 secs
Read EPC: 133704046436bb, 0 , Result=5
Read EPC: 133704046436bb, 5 , Result=0
Read EPC: 133704046436bb, 2 , Result=5
Read EPC: 133704046436bb, 5 , Result=0
Read EPC: 133704046436bb, 5 , Result=0
Read EPC: 133704046436bb, 3 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370506643aef, 6 , Result=0
Next block: 050664404e(32/2689) --- Time elapsed: 5.484 secs
Read EPC: 13370506643aef, 0 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370506643aef, 4 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370506643aef, 5 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370506643aef, 5 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370506643aef, 4 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 1337050664404e, 5 , Result=5
Next block: 0506644670(35/2689) --- Time elapsed: 5.713 secs
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 1337050664404e, 5 , Result=5
Read EPC: 13370000000000, 2 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370506644670, 3 , Result=5
Next block: 0506644ccd(38/2689) --- Time elapsed: 5.993 secs
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370506644670, 6 , Result=0
Read EPC: 13370506644670, 0 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370506644670, 6 , Result=0
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370506644670, 4 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370506644670, 4 , Result=5
Read EPC: 13370000000000, 3 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370506644ccd, 2 , Result=5
Next block: 05066452e2(41/2689) --- Time elapsed: 6.524 secs
Read EPC: 13370000000000, 4 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370506644ccd, 2 , Result=5
Read EPC: 13370000000000, 5 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370506644ccd, 2 , Result=6
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370506644ccd, 2 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 133705066452e2, 2 , Result=5
Next block: 0506645861(44/2689) --- Time elapsed: 6.773 secs
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 133705066452e2, 2 , Result=5
Read EPC: 13370000000000, 6 , Result=0
no tags seen
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370506645861, 1 , Result=5
Next block: 0506645e9d(47/2689) --- Time elapsed: 7.043 secs
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370506645861, 6 , Result=0
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370506645861, 6 , Result=0
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370506645861, 5 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370506645e9d, 1 , Result=5
Next block: 050664641e(50/2689) --- Time elapsed: 7.273 secs
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370506645e9d, 1 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370506645e9d, 2 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 1337050664641e, 1 , Result=5
Next block: 0506646ae1(53/2689) --- Time elapsed: 7.564 secs
Read EPC: 13370000000000, 0 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 1337050664641e, 6 , Result=0
Read EPC: 1337050664641e, 0 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 1337050664641e, 2 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 1337050664641e, 3 , Result=5
Read EPC: 1337050664641e, 6 , Result=0
Read EPC: 1337050664641e, 2 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 1337050664641e, 3 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370506646ae1, 3 , Result=5
Next block: 030264703b(56/2689) --- Time elapsed: 7.803 secs
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370506646ae1, 2 , Result=5
Read EPC: 13370000000000, 0 , Result=5
Read EPC: 13370000000000, 4 , Result=0
Read EPC: 1337030264703b, 4 , Result=0
Next block: 0608647262(57/2689) --- Time elapsed: 8.075 secs
Read EPC: 13370000000000, 4 , Result=0
Read EPC: 1337030264703b, 4 , Result=0
Read EPC: 1337030264703b, 0 , Result=5
Read EPC: 13370000000000, 4 , Result=0
Read EPC: 1337030264703b, 4 , Result=0
Read EPC: 1337030264703b, 2 , Result=5
Read EPC: 13370000000000, 4 , Result=0
Read EPC: 1337030264703b, 4 , Result=0
Read EPC: 1337030264703b, 2 , Result=5
Read EPC: 13370000000000, 0 , Result=5
Read EPC: 13370000000000, 7 , Result=0
Read EPC: 13370608647262, 1 , Result=5
Next block: 0608647a7a(61/2689) --- Time elapsed: 8.333 secs
Read EPC: 13370000000000, 5 , Result=5
Read EPC: 13370000000000, 7 , Result=0
Read EPC: 13370608647262, 0 , Result=5
Read EPC: 13370000000000, 7 , Result=0
Read EPC: 13370608647a7a, 0 , Result=5
Next block: 0608648296(65/2689) --- Time elapsed: 8.579 secs
Read EPC: 13370000000000, 7 , Result=0
Read EPC: 13370608647a7a, 0 , Result=5
Read EPC: 13370000000000, 7 , Result=0
Read EPC: 13370608647a7a, 0 , Result=5
Read EPC: 13370000000000, 7 , Result=0
Read EPC: 13370608647a7a, 2 , Result=5
Read EPC: 13370000000000, 7 , Result=0
Read EPC: 13370608648296, 1 , Result=5
Next block: 0608648aae(69/2689) --- Time elapsed: 8.823 secs
Read EPC: 13370000000000, 7 , Result=0
Read EPC: 13370608648296, 1 , Result=5
Read EPC: 13370000000000, 7 , Result=0
Read EPC: 13370608648296, 1 , Result=5
no tags seen
Read EPC: 13370000000000, 3 , Result=5
Read EPC: 13370000000000, 5 , Result=5
Read EPC: 13370000000000, 7 , Result=0
Read EPC: 13370608648aae, 0 , Result=5
Next block: 060864925a(73/2689) --- Time elapsed: 9.114 secs
Read EPC: 13370000000000, 7 , Result=0
Read EPC: 13370000000000, 5 , Result=5
Read EPC: 13370000000000, 0 , Result=5
Read EPC: 13370000000000, 6 , Result=5
Read EPC: 13370000000000, 6 , Result=5
Read EPC: 13370000000000, 6 , Result=5
Read EPC: 13370000000000, 7 , Result=0
Read EPC: 13370000000000, 7 , Result=0
Read EPC: 13370000000000, 4 , Result=5
Read EPC: 13370000000000, 2 , Result=5
Read EPC: 13370000000000, 5 , Result=5
no tags seen
Read EPC: 13370000000000, 6 , Result=5
Read EPC: 13370000000000, 7 , Result=0
Read EPC: 13370000000000, 7 , Result=0
Read EPC: 13370000000000, 4 , Result=6
no tags seen
Read EPC: 13370000000000, 3 , Result=5
Timeout reached. Resending (bad EPC)... 1
Undone words: 4
Resent: 0404649247
Read EPC: 13370000000000, 4 , Result=5
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 13370404649247, 0 , Result=5
Next block: 040464960f(75/2689) --- Time elapsed: 11.713 secs
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 13370404649247, 0 , Result=5
Read EPC: 13370000000000, 3 , Result=5
no tags seen
Read EPC: 13370000000000, 1 , Result=5
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 1337040464960f, 0 , Result=5
Next block: 0404649ac7(77/2689) --- Time elapsed: 12.218 secs
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 1337040464960f, 0 , Result=5
Read EPC: 1337040464960f, 1 , Result=5
Read EPC: 13370000000000, 5 , Result=0
no tags seen
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 13370404649ac7, 0 , Result=6
Next block: 0404649e8f(79/2689) --- Time elapsed: 12.718 secs
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 13370404649ac7, 0 , Result=6
Read EPC: 13370000000000, 4 , Result=5
no tags seen
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 13370000000000, 4 , Result=5
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 13370404649e8f, 1 , Result=5
Next block: 040464a269(81/2689) --- Time elapsed: 13.252 secs
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 13370404649e8f, 1 , Result=5
Read EPC: 13370000000000, 0 , Result=5
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 1337040464a269, 3 , Result=5
Next block: 040464a631(83/2689) --- Time elapsed: 13.499 secs
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 1337040464a269, 1 , Result=6
no tags seen
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 1337040464a269, 1 , Result=5
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 1337040464a631, 2 , Result=5
Next block: 040464aae9(85/2689) --- Time elapsed: 13.753 secs
Read EPC: 1337040464a631, 2 , Result=5
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 1337040464a631, 3 , Result=5
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 1337040464a631, 1 , Result=5
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 1337040464aae9, 2 , Result=5
Next block: 040464aeb1(87/2689) --- Time elapsed: 14.005 secs
Read EPC: 13370000000000, 2 , Result=5
Read EPC: 13370000000000, 5 , Result=0
no tags seen
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 1337040464aeb1, 0 , Result=5
Next block: 040464b28b(89/2689) --- Time elapsed: 14.260 secs
Read EPC: 1337040464aeb1, 2 , Result=5
Read EPC: 1337040464aeb1, 2 , Result=5
Read EPC: 1337040464aeb1, 5 , Result=0
Read EPC: 1337040464aeb1, 0 , Result=5
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 1337040464b28b, 4 , Result=5
Next block: 040464b653(91/2689) --- Time elapsed: 14.494 secs
Read EPC: 13370000000000, 1 , Result=5
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 1337040464b28b, 2 , Result=5
Read EPC: 13370000000000, 2 , Result=5
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 1337040464b653, 3 , Result=5
Next block: 050664ba7b(93/2689) --- Time elapsed: 14.771 secs
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 1337040464b653, 3 , Result=5
Read EPC: 13370000000000, 5 , Result=0
Read EPC: 1337040464b653, 5 , Result=0
Read EPC: 13370000000000, 0 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 1337050664ba7b, 4 , Result=5
Next block: 050664c0ea(96/2689) --- Time elapsed: 15.030 secs
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 1337050664ba7b, 3 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 1337050664ba7b, 1 , Result=5
Read EPC: 13370000000000, 3 , Result=5
Read EPC: 13370000000000, 0 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 1337050664c0ea, 2 , Result=5
Next block: 050664c68c(99/2689) --- Time elapsed: 15.323 secs
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 1337050664c0ea, 4 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 1337050664c0ea, 3 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 1337050664c68c, 5 , Result=5
Next block: 050664ccd9(102/2689) --- Time elapsed: 15.563 secs
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 1337050664c68c, 4 , Result=5
Read EPC: 1337050664c68c, 6 , Result=0
Read EPC: 1337050664c68c, 1 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 1337050664c68c, 3 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 1337050664c68c, 5 , Result=5
Read EPC: 13370000000000, 4 , Result=5
Read EPC: 13370000000000, 3 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 1337050664ccd9, 4 , Result=5
Next block: 050664d286(105/2689) --- Time elapsed: 16.060 secs
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 1337050664ccd9, 2 , Result=5
Read EPC: 13370000000000, 5 , Result=5
Read EPC: 13370000000000, 3 , Result=5
Read EPC: 13370000000000, 0 , Result=5
Read EPC: 13370000000000, 3 , Result=5
Read EPC: 13370000000000, 4 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 1337050664ccd9, 0 , Result=6
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 1337050664d286, 0 , Result=5
Next block: 050664d8f5(108/2689) --- Time elapsed: 16.333 secs
Read EPC: 13370000000000, 1 , Result=5
Read EPC: 13370000000000, 2 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370000000000, 4 , Result=5
no tags seen
Read EPC: 13370000000000, 5 , Result=5
Read EPC: 13370000000000, 5 , Result=5
Read EPC: 13370000000000, 5 , Result=5
Read EPC: 13370000000000, 4 , Result=6
no tags seen
Read EPC: 13370000000000, 4 , Result=5
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 1337050664d8f5, 0 , Result=5
Next block: 050664deb1(111/2689) --- Time elapsed: 17.382 secs
Read EPC: 13370000000000, 6 , Result=0
Read EPC: 13370000000000, 5 , Result=5
no tags seen
Read EPC: 13370000000000, 5 , Result=5
Read EPC: 13370000000000, 0 , Result=5
